id	contig
1IRJ_A	BD_contigs_contig_1961
2D5L_A	BD_contigs_contig_79342
2G0J_A	BD_contigs_contig_27449
3AAA_C	BD_contigs_contig_46421
3NGJ_A	BD_contigs_contig_90333
3QO5_A	BD_contigs_contig_84527
3QO5_A	BD_contigs_contig_84527
4GMK_A	BD_contigs_contig_101949
5K18_B	BD_contigs_contig_92403
AAA34329	BD_contigs_contig_92761
AAA34329	BD_contigs_contig_104910
AAB48826	BD_contigs_contig_19036
AAC05838	BD_contigs_contig_35999
AAC18612	BD_contigs_contig_87594
AAC18612	BD_contigs_contig_90067
AAC18612	BD_contigs_contig_102789
AAC18612	BD_contigs_contig_28853
AAC46210	BD_contigs_contig_56500
AAC46210	BD_contigs_contig_103223
AAC62261	BD_contigs_contig_78390
AAC64239	BD_contigs_contig_90642
AAD03320	BD_contigs_contig_85117
AAD13638	BD_contigs_contig_71075
AAD13638	BD_contigs_contig_70542
AAD13638	BD_contigs_contig_70531
AAD13638	BD_contigs_contig_88678
AAD13638	BD_contigs_contig_38561
AAD13638	BD_contigs_contig_89534
AAD13638	BD_contigs_contig_16908
AAD13638	BD_contigs_contig_72658
AAD14436	BD_contigs_contig_64458
AAF17258	BD_contigs_contig_29652
AAF19399	BD_contigs_contig_42888
AAF34693	BD_contigs_contig_93626
AAF69620	BD_contigs_contig_105618
AAF91452	BD_contigs_contig_53581
AAG35515	BD_contigs_contig_89090
AAG44485	BD_contigs_contig_60344
AAG44485	BD_contigs_contig_60344
AAG48574	BD_contigs_contig_104948
AAH00946	BD_contigs_contig_29787
AAH03158	BD_contigs_contig_67389
AAH12417	BD_contigs_contig_63424
AAH83509	BD_contigs_contig_25551
AAH93745	BD_contigs_contig_34338
AAI15405	BD_contigs_contig_13232
AAI15405	BD_contigs_contig_33151
AAI15405	BD_contigs_contig_13232
AAI15405	BD_contigs_contig_13232
AAI15405	BD_contigs_contig_33151
AAI17206	BD_contigs_contig_60687
AAI17206	BD_contigs_contig_60690
AAI72352	BD_contigs_contig_69367
AAI72594	BD_contigs_contig_23188
AAI72594	BD_contigs_contig_23188
AAI72594	BD_contigs_contig_28191
AAK00765	BD_contigs_contig_104488
AAK94500	BD_contigs_contig_79
AAL00652	BD_contigs_contig_75390
AAL04089	BD_contigs_contig_35462
AAL50637	BD_contigs_contig_57312
AAL73041	BD_contigs_contig_68020
AAL86704	BD_contigs_contig_28747
AAL91683	BD_contigs_contig_92205
AAM73646	BD_contigs_contig_642
AAM73708	BD_contigs_contig_14930
AAM90995	BD_contigs_contig_81178
AAM90995	BD_contigs_contig_79879
AAM90995	BD_contigs_contig_38534
AAM90995	BD_contigs_contig_28609
AAM90995	BD_contigs_contig_40335
AAN52125	BD_contigs_contig_14494
AAO16801	BD_contigs_contig_23651
AAO25556	BD_contigs_contig_45278
AAO38844	BD_contigs_contig_104935
AAO38844	BD_contigs_contig_104935
AAO72959	BD_contigs_contig_45330
AAP34371	BD_contigs_contig_104487
AAP97148	BD_contigs_contig_39976
AAQ02426	BD_contigs_contig_52235
AAQ02426	BD_contigs_contig_52235
AAQ04644	BD_contigs_contig_62885
AAQ06679	BD_contigs_contig_54490
AAQ65449	BD_contigs_contig_97575
AAQ65496	BD_contigs_contig_78846
AAQ65572	BD_contigs_contig_97337
AAQ65789	BD_contigs_contig_86191
AAQ65998	BD_contigs_contig_99437
AAQ66023	BD_contigs_contig_78662
AAQ66072	BD_contigs_contig_16830
AAQ66072	BD_contigs_contig_86835
AAQ66248	BD_contigs_contig_96210
AAQ66284	BD_contigs_contig_100655
AAQ66375	BD_contigs_contig_94963
AAQ66469	BD_contigs_contig_94882
AAQ66820	BD_contigs_contig_98250
AAQ67071	BD_contigs_contig_85378
AAQ67071	BD_contigs_contig_85378
AAS10974	BD_contigs_contig_53621
AAT83601	BD_contigs_contig_7064
AAT83842	BD_contigs_contig_111277
AAT93029	BD_contigs_contig_111399
AAU36820	BD_contigs_contig_11635
AAU36835	BD_contigs_contig_1537
AAU38428	BD_contigs_contig_17067
AAV38797	BD_contigs_contig_45787
AAV60215	BD_contigs_contig_113852
AAX36788	BD_contigs_contig_22653
AAY85692	BD_contigs_contig_86101
ABA87799	BD_contigs_contig_102246
ABD17825	BD_contigs_contig_77803
ABJ59477	BD_contigs_contig_67405
ABJ59519	BD_contigs_contig_110080
ABJ59535	BD_contigs_contig_48219
ABJ59535	BD_contigs_contig_106743
ABJ59557	BD_contigs_contig_35632
ABJ59572	BD_contigs_contig_107306
ABJ59586	BD_contigs_contig_106518
ABJ59596	BD_contigs_contig_107721
ABJ59611	BD_contigs_contig_99796
ABJ59614	BD_contigs_contig_18210
ABJ59625	BD_contigs_contig_52949
ABJ59685	BD_contigs_contig_109505
ABJ59689	BD_contigs_contig_107177
ABJ59689	BD_contigs_contig_70015
ABJ59770	BD_contigs_contig_78667
ABJ59804	BD_contigs_contig_110556
ABJ59809	BD_contigs_contig_107956
ABJ59852	BD_contigs_contig_111219
ABJ59855	BD_contigs_contig_11295
ABJ59855	BD_contigs_contig_108387
ABJ59855	BD_contigs_contig_107573
ABJ59876	BD_contigs_contig_84751
ABJ59876	BD_contigs_contig_106413
ABJ59882	BD_contigs_contig_107200
ABJ59916	BD_contigs_contig_113997
ABJ59923	BD_contigs_contig_100894
ABJ59923	BD_contigs_contig_107452
ABJ59923	BD_contigs_contig_109280
ABJ59941	BD_contigs_contig_109474
ABJ59944	BD_contigs_contig_104347
ABJ59959	BD_contigs_contig_106359
ABJ59959	BD_contigs_contig_105714
ABJ59959	BD_contigs_contig_108289
ABJ59959	BD_contigs_contig_113505
ABJ59959	BD_contigs_contig_108291
ABJ59964	BD_contigs_contig_110412
ABJ60089	BD_contigs_contig_108034
ABJ60089	BD_contigs_contig_21372
ABJ60089	BD_contigs_contig_64817
ABJ60170	BD_contigs_contig_113967
ABJ60170	BD_contigs_contig_105364
ABJ60179	BD_contigs_contig_109401
ABJ60240	BD_contigs_contig_110130
ABJ60251	BD_contigs_contig_95707
ABJ60369	BD_contigs_contig_97045
ABJ60369	BD_contigs_contig_109595
ABJ60373	BD_contigs_contig_108334
ABJ60433	BD_contigs_contig_70914
ABJ60453	BD_contigs_contig_110796
ABJ60460	BD_contigs_contig_34642
ABJ60508	BD_contigs_contig_108992
ABJ60508	BD_contigs_contig_108994
ABJ60508	BD_contigs_contig_108993
ABJ60638	BD_contigs_contig_108713
ABJ60655	BD_contigs_contig_106779
ABJ60673	BD_contigs_contig_87073
ABJ60673	BD_contigs_contig_107955
ABJ60673	BD_contigs_contig_94000
ABJ60684	BD_contigs_contig_105548
ABJ60684	BD_contigs_contig_106121
ABJ60694	BD_contigs_contig_106070
ABJ60696	BD_contigs_contig_102620
ABJ60706	BD_contigs_contig_109041
ABJ60706	BD_contigs_contig_88055
ABJ60706	BD_contigs_contig_92848
ABJ60706	BD_contigs_contig_107352
ABJ60741	BD_contigs_contig_101347
ABJ60782	BD_contigs_contig_49171
ABJ60854	BD_contigs_contig_110653
ABJ60871	BD_contigs_contig_103755
ABJ60915	BD_contigs_contig_84187
